kind,probe,target,score
genuine,104_1.png,104_4.png,116.4125131769
genuine,104_1.png,104_5.png,73.0438878077
genuine,104_1.png,104_6.png,88.9548657424
genuine,104_1.png,104_7.png,87.2939225861
genuine,104_1.png,104_8.png,36.5780881663
genuine,104_2.png,104_4.png,31.2826862399
genuine,104_2.png,104_5.png,22.7599599415
genuine,104_2.png,104_6.png,30.8049743741
genuine,104_2.png,104_7.png,5.0276149225
genuine,104_2.png,104_8.png,21.9631600249
genuine,104_3.png,104_4.png,73.7206447753
genuine,104_3.png,104_5.png,65.6463616226
genuine,104_3.png,104_6.png,32.7370795310
genuine,104_3.png,104_7.png,69.3605995243
genuine,104_3.png,104_8.png,11.6414300138
impostor,104_1.png,101_1.png,0.9208932398
impostor,104_1.png,101_2.png,0.0000000000
impostor,104_1.png,101_3.png,8.2247641311
impostor,104_1.png,101_4.png,4.7003185645
impostor,104_1.png,101_5.png,3.0123093898
impostor,104_1.png,101_6.png,3.6832464391
impostor,104_1.png,101_7.png,2.0923548610
impostor,104_1.png,101_8.png,1.5548324974
impostor,104_1.png,102_1.png,6.9499201974
impostor,104_1.png,102_2.png,0.4554457973
impostor,104_1.png,102_3.png,2.2800281254
impostor,104_1.png,102_4.png,0.0000000000
impostor,104_1.png,102_5.png,0.4406316958
impostor,104_1.png,102_6.png,0.6716051218
impostor,104_1.png,102_7.png,0.8738395159
impostor,104_1.png,102_8.png,0.4026496449
impostor,104_1.png,103_1.png,15.4020561031
impostor,104_1.png,103_2.png,0.0000000000
impostor,104_1.png,103_3.png,2.9245205534
impostor,104_1.png,103_4.png,0.6109662437
impostor,104_1.png,103_5.png,7.0503108652
impostor,104_1.png,103_6.png,6.5885748677
impostor,104_1.png,103_7.png,4.1563653663
impostor,104_1.png,103_8.png,12.8907647324
impostor,104_1.png,105_1.png,0.0000000000
impostor,104_1.png,105_2.png,2.1494647121
impostor,104_1.png,105_3.png,0.0000000000
impostor,104_1.png,105_4.png,0.0000000000
impostor,104_1.png,105_5.png,0.5519678454
impostor,104_1.png,105_6.png,0.3623322840
impostor,104_1.png,105_7.png,2.3437985602
impostor,104_1.png,105_8.png,0.8421583970
impostor,104_1.png,106_1.png,0.0000000000
impostor,104_1.png,106_2.png,2.7409970051
impostor,104_1.png,106_3.png,1.8059137608
impostor,104_1.png,106_4.png,0.0000000000
impostor,104_1.png,106_5.png,0.2303245962
impostor,104_1.png,106_6.png,0.7950899734
impostor,104_1.png,106_7.png,0.0813602578
impostor,104_1.png,106_8.png,2.9197974472
impostor,104_1.png,107_1.png,6.6086331928
impostor,104_1.png,107_2.png,2.8032102729
impostor,104_1.png,107_3.png,10.7528194065
impostor,104_1.png,107_4.png,0.8015644147
impostor,104_1.png,107_5.png,4.9572347707
impostor,104_1.png,107_6.png,3.9587300843
impostor,104_1.png,107_7.png,0.0000000000
impostor,104_1.png,107_8.png,2.4489836903
impostor,104_1.png,108_1.png,0.0000000000
impostor,104_1.png,108_2.png,0.0000000000
impostor,104_1.png,108_3.png,1.8655894265
impostor,104_1.png,108_4.png,0.0000000000
impostor,104_1.png,108_5.png,1.3696120665
impostor,104_1.png,108_6.png,0.6249177612
impostor,104_1.png,108_7.png,0.0000000000
impostor,104_1.png,108_8.png,4.0974242404
impostor,104_1.png,109_1.png,1.9751040232
impostor,104_1.png,109_2.png,3.5321173846
impostor,104_1.png,109_3.png,0.8078287837
impostor,104_1.png,109_4.png,0.0000000000
impostor,104_1.png,109_5.png,2.7086519500
impostor,104_1.png,109_6.png,1.2595115199
impostor,104_1.png,109_7.png,1.4104916085
impostor,104_1.png,109_8.png,0.3512293730
impostor,104_1.png,110_1.png,2.0045689678
impostor,104_1.png,110_2.png,1.3259180956
impostor,104_1.png,110_3.png,0.0000000000
impostor,104_1.png,110_4.png,3.9789933641
impostor,104_1.png,110_5.png,1.7257434599
impostor,104_1.png,110_6.png,0.1584515063
impostor,104_1.png,110_7.png,0.0000000000
impostor,104_1.png,110_8.png,1.1090479345
impostor,104_2.png,101_1.png,0.0000000000
impostor,104_2.png,101_2.png,0.5016837168
impostor,104_2.png,101_3.png,0.0000000000
impostor,104_2.png,101_4.png,0.2117891486
impostor,104_2.png,101_5.png,0.6854928340
impostor,104_2.png,101_6.png,0.7349810338
impostor,104_2.png,101_7.png,0.8794341624
